    -------<<  MADE IN LABORATORY EQUIPMENT CORPORATION  >>-------

                                                         Report,2018/11/16,08:33:48
MCA Data File,okumura_Cs.asc
Comment,
Date,2018/11/16,08:23:11
Live Time,300,Real Time,487,Preset time,300,Dead Time,0,(%),Mode,PHA
Spectrum Data,Start ch,0,End ch,4095
  chn  ,  data
 853,    2039
 854,    2145
 855,    2172
 856,    2103
 857,    2105
 858,    2178
 859,    2101
 860,    2188
 861,    2275
 862,    2102
 863,    2151
 864,    2133
 865,    2206
 866,    2253
 867,    2188
 868,    2218
 869,    2182
 870,    2240
 871,    2126
 872,    2135
 873,    2277
 874,    2139
 875,    2184
 876,    2094
 877,    2122
 878,    2098
 879,    2095
 880,    2160
 881,    2175
 882,    2171
 883,    2209
 884,    2220
 885,    2111
 886,    2171
 887,    2078
 888,    2180
 889,    2113
 890,    2127
 891,    2288
 892,    2116
 893,    2113
 894,    2138
 895,    2160
 896,    2177
 897,    2098
 898,    2138
 899,    2191
 900,    2138
 901,    2219
 902,    2215
 903,    2183
 904,    2124
 905,    2102
 906,    2142
 907,    2046
 908,    2169
 909,    2122
 910,    2080
 911,    2122
 912,    2061
 913,    2104
 914,    2068
 915,    2128
 916,    2116
 917,    2111
 918,    2175
 919,    2064
 920,    2097
 921,    2060
 922,    2032
 923,    2098
 924,    2115
 925,    2056
 926,    2127
 927,    2057
 928,    2074
 929,    2003
 930,    2061
 931,    2068
 932,    2087
 933,    2027
 934,    2139
 935,    2105
 936,    2070
 937,    2133
 938,    2031
 939,    2093
 940,    2121
 941,    2035
 942,    2032
 943,    2063
 944,    2066
 945,    2025
 946,    2041
 947,    1905
 948,    1995
 949,    2109
 950,    2092
 951,    1971
 952,    2097
 953,    1965
 954,    1999
 955,    1994
 956,    1998
 957,    1969
 958,    2032
 959,    2023
 960,    2030
 961,    1995
 962,    2012
 963,    2035
 964,    1946
 965,    2052
 966,    2094
 967,    2031
 968,    1978
 969,    2009
 970,    1981
 971,    2006
 972,    1956
 973,    1986
 974,    2049
 975,    1960
 976,    1996
 977,    1936
 978,    1978
 979,    1960
 980,    2015
 981,    1914
 982,    1928
 983,    1936
 984,    2004
 985,    1828
 986,    1940
 987,    1934
 988,    1893
 989,    1938
 990,    1881
 991,    2017
 992,    1971
 993,    1913
 994,    1946
 995,    1897
 996,    1889
 997,    1888
 998,    1883
 999,    1935
1000,    1912
1001,    1890
1002,    1878
1003,    1894
1004,    1916
1005,    1956
1006,    1838
1007,    1907
1008,    1801
1009,    1935
1010,    1865
1011,    1859
1012,    1900
1013,    1823
1014,    1850
1015,    1860
1016,    1847
1017,    1873
1018,    1902
1019,    1821
1020,    1812
1021,    1879
1022,    1738
1023,    1896
1024,    1856
1025,    1808
1026,    1851
1027,    1819
1028,    1846
1029,    1830
1030,    1871
1031,    1809
1032,    1799
1033,    1862
1034,    1913
1035,    1809
1036,    1913
1037,    1782
1038,    1818
1039,    1736
1040,    1751
1041,    1833
1042,    1823
1043,    1889
1044,    1842
1045,    1823
1046,    1777
1047,    1763
1048,    1774
1049,    1671
1050,    1769
1051,    1764
1052,    1771
1053,    1759
1054,    1830
1055,    1775
1056,    1706
1057,    1743
1058,    1800
1059,    1808
1060,    1749
1061,    1743
1062,    1671
1063,    1706
1064,    1755
1065,    1791
1066,    1708
1067,    1789
1068,    1735
1069,    1658
1070,    1756
1071,    1729
1072,    1770
1073,    1808
1074,    1761
1075,    1736
1076,    1705
1077,    1676
1078,    1762
1079,    1749
1080,    1637
1081,    1709
1082,    1668
1083,    1732
1084,    1693
1085,    1710
1086,    1582
1087,    1658
1088,    1815
1089,    1706
1090,    1665
1091,    1653
1092,    1704
1093,    1648
1094,    1602
1095,    1680
1096,    1666
1097,    1674
1098,    1673
1099,    1639
1100,    1689
1101,    1704
1102,    1597
1103,    1753
1104,    1663
1105,    1693
1106,    1684
1107,    1683
1108,    1620
1109,    1631
1110,    1697
1111,    1667
1112,    1602
1113,    1628
1114,    1660
1115,    1570
1116,    1595
1117,    1653
1118,    1688
1119,    1643
1120,    1690
1121,    1671
1122,    1584
1123,    1602
1124,    1652
1125,    1643
1126,    1571
1127,    1601
1128,    1589
1129,    1569
1130,    1576
1131,    1625
1132,    1616
1133,    1598
1134,    1570
1135,    1663
1136,    1584
1137,    1617
1138,    1660
1139,    1627
1140,    1638
1141,    1508
1142,    1555
1143,    1531
1144,    1561
1145,    1497
1146,    1636
1147,    1601
1148,    1643
1149,    1599
1150,    1602
1151,    1576
1152,    1614
1153,    1605
1154,    1562
1155,    1554
1156,    1559
1157,    1547
1158,    1484
1159,    1527
1160,    1556
1161,    1488
1162,    1517
1163,    1507
1164,    1521
1165,    1612
1166,    1600
1167,    1525
1168,    1538
1169,    1584
1170,    1532
1171,    1537
1172,    1521
1173,    1494
1174,    1572
1175,    1519
1176,    1553
1177,    1556
1178,    1547
1179,    1560
1180,    1594
1181,    1529
1182,    1545
1183,    1593
1184,    1555
1185,    1454
1186,    1523
1187,    1479
1188,    1500
1189,    1536
1190,    1472
1191,    1481
1192,    1523
1193,    1541
1194,    1471
1195,    1451
1196,    1549
1197,    1514
1198,    1503
1199,    1476
1200,    1483
1201,    1566
1202,    1477
1203,    1529
1204,    1488
1205,    1443
1206,    1480
1207,    1456
1208,    1545
1209,    1444
1210,    1451
1211,    1475
1212,    1534
1213,    1460
1214,    1439
1215,    1429
1216,    1482
1217,    1424
1218,    1544
1219,    1432
1220,    1503
1221,    1543
1222,    1440
1223,    1523
1224,    1488
1225,    1467
1226,    1501
1227,    1480
1228,    1427
1229,    1505
1230,    1454
1231,    1477
1232,    1470
1233,    1371
1234,    1514
1235,    1425
1236,    1460
1237,    1398
1238,    1455
1239,    1502
1240,    1411
1241,    1457
1242,    1458
1243,    1445
1244,    1451
1245,    1496
1246,    1419
1247,    1427
1248,    1387
1249,    1410
1250,    1402
1251,    1425
1252,    1462
1253,    1343
1254,    1409
1255,    1471
1256,    1406
1257,    1440
1258,    1451
1259,    1412
1260,    1392
1261,    1366
1262,    1411
1263,    1423
1264,    1417
1265,    1344
1266,    1391
1267,    1383
1268,    1414
1269,    1376
1270,    1380
1271,    1447
1272,    1479
1273,    1407
1274,    1383
1275,    1455
1276,    1400
1277,    1376
1278,    1426
1279,    1369
1280,    1423
1281,    1426
1282,    1442
1283,    1434
1284,    1374
1285,    1428
1286,    1360
1287,    1416
1288,    1385
1289,    1412
